index,millisecond,x,y,z,yaw
1.73736e+09,1737360129925883458,-0.0180832,-0.084192,0,-0.226463
1.73736e+09,1737360130025885838,-0.0181374,-0.0842191,0,-0.226653
1.73736e+09,1737360130125930251,-0.0182006,-0.0842655,0,-0.226982
1.73736e+09,1737360130225888099,-0.0183902,-0.084377,0,-0.226893
1.73736e+09,1737360130325960325,-0.0183704,-0.0843638,0,-0.226893
1.73736e+09,1737360130425887964,-0.0181876,-0.084249,0,-0.226893
1.73736e+09,1737360130525890188,-0.0182226,-0.084234,0,-0.226517
1.73736e+09,1737360130625837775,-0.0182226,-0.084234,0,-0.226517
1.73736e+09,1737360130725887866,-0.0180983,-0.08418,0,-0.228014
1.73736e+09,1737360130825887485,-0.0182025,-0.0842373,0,-0.227214
1.73736e+09,1737360130925979869,-0.0183461,-0.084256,0,-0.225771
1.73736e+09,1737360131025843182,-0.0182782,-0.0842547,0,-0.226315
1.73736e+09,1737360131125904053,-0.0181512,-0.0842397,0,-0.226893
1.73736e+09,1737360131225894766,-0.0182601,-0.0846797,0,-0.225841
1.73736e+09,1737360131325885895,-0.0182533,-0.084626,0,-0.225973
1.73736e+09,1737360131425880202,-0.0181494,-0.0842578,0,-0.226893
1.73736e+09,1737360131525883519,-0.0181497,-0.0841926,0,-0.227338
1.73736e+09,1737360131625890482,-0.0181497,-0.0841926,0,-0.227338
1.73736e+09,1737360131725886977,-0.0182262,-0.084252,0,-0.226854
1.73736e+09,1737360131825891127,-0.017865,-0.0843646,0,-0.226601
1.73736e+09,1737360131925883819,-0.018119,-0.0841529,0,-0.227507
1.73736e+09,1737360132025842760,-0.018155,-0.0841945,0,-0.227253
1.73736e+09,1737360132125876598,-0.0183465,-0.0842467,0,-0.227065
1.73736e+09,1737360132225891373,-0.0183194,-0.0841239,0,-0.227919
1.73736e+09,1737360132325887190,-0.018316,-0.0841278,0,-0.227888
1.73736e+09,1737360132425838578,-0.0182165,-0.0843003,0,-0.227214
1.73736e+09,1737360132525909501,-0.018246,-0.0842424,0,-0.226716
1.73736e+09,1737360132625892608,-0.018246,-0.0842424,0,-0.226716
1.73736e+09,1737360132725887070,-0.0182065,-0.0842519,0,-0.226928
1.73736e+09,1737360132825873772,-0.018188,-0.0843621,0,-0.226893
1.73736e+09,1737360132925880422,-0.0181936,-0.0843128,0,-0.226134
1.73736e+09,1737360133025881759,-0.0181982,-0.0842907,0,-0.226416
1.73736e+09,1737360133125873304,-0.0183894,-0.0841899,0,-0.227289
1.73736e+09,1737360133225892401,-0.0179053,-0.0840505,0,-0.227233
1.73736e+09,1737360133325934729,-0.0179192,-0.0840598,0,-0.227218
1.73736e+09,1737360133425898408,-0.018141,-0.0843542,0,-0.226199
1.73736e+09,1737360133525898234,-0.018202,-0.084309,0,-0.226718
1.73736e+09,1737360133625888425,-0.018202,-0.084309,0,-0.226718
1.73736e+09,1737360133725889241,-0.0186419,-0.0841209,0,-0.227859
1.73736e+09,1737360133825888806,-0.0182745,-0.0841838,0,-0.227125
1.73736e+09,1737360133925888164,-0.0182745,-0.0841838,0,-0.227125
1.73736e+09,1737360134025908251,-0.0182101,-0.0842607,0,-0.227045
1.73736e+09,1737360134125884222,-0.0182021,-0.0842608,0,-0.226806
1.73736e+09,1737360134225892016,-0.0181872,-0.0841787,0,-0.227841
1.73736e+09,1737360134325892727,-0.0181891,-0.0841861,0,-0.227747
1.73736e+09,1737360134425929012,-0.0179727,-0.0843195,0,-0.226261
1.73736e+09,1737360134525887899,-0.018258,-0.0843155,0,-0.226734
1.73736e+09,1737360134625884599,-0.018258,-0.0843155,0,-0.226734
1.73736e+09,1737360134725889841,-0.0182249,-0.0841948,0,-0.227665
1.73736e+09,1737360134825886594,-0.0180935,-0.084158,0,-0.226513
1.73736e+09,1737360134925883659,-0.0180935,-0.084158,0,-0.226513
1.73736e+09,1737360135025933486,-0.0182453,-0.0842579,0,-0.226893
1.73736e+09,1737360135125842579,-0.0181937,-0.0842219,0,-0.226893
1.73736e+09,1737360135225879592,-0.0180231,-0.0843179,0,-0.226893
1.73736e+09,1737360135325887074,-0.018041,-0.0843116,0,-0.226893
1.73736e+09,1737360135425889503,-0.0184466,-0.0842082,0,-0.227366
1.73736e+09,1737360135525883546,-0.0181787,-0.0842451,0,-0.227302
1.73736e+09,1737360135625886808,-0.0181787,-0.0842451,0,-0.227302
1.73736e+09,1737360135725888873,-0.0180582,-0.0844753,0,-0.225554
1.73736e+09,1737360135825897813,-0.0183532,-0.0841633,0,-0.22747
