Timestamp,x,y,z,yaw
1.73736e+09,1.12494,-0.665319,0,1.20435
1.73736e+09,1.1236,-0.66518,0,1.1858
1.73736e+09,1.12363,-0.665134,0,1.18597
1.73736e+09,1.12482,-0.665212,0,1.20405
1.73736e+09,1.12494,-0.665374,0,1.20448
1.73736e+09,1.12494,-0.665374,0,1.20448
1.73736e+09,1.12501,-0.66531,0,1.20429
1.73736e+09,1.12497,-0.665382,0,1.20398
1.73736e+09,1.12509,-0.665339,0,1.20516
1.73736e+09,1.12419,-0.66505,0,1.19266
1.73736e+09,1.12481,-0.618893,0,1.20299
1.73736e+09,1.12528,-0.665112,0,1.20462
1.73736e+09,1.1252,-0.665166,0,1.20454
1.73736e+09,1.12482,-0.665529,0,1.20389
1.73736e+09,1.12491,-0.665317,0,1.20417
1.73736e+09,1.12491,-0.665317,0,1.20417
1.73736e+09,1.12401,-0.664936,0,1.18818
1.73736e+09,1.125,-0.66541,0,1.20508
1.73736e+09,1.12487,-0.665396,0,1.20429
1.73736e+09,1.12489,-0.665372,0,1.20429
1.73736e+09,1.12605,-0.665498,0,1.22085
1.73736e+09,1.12485,-0.665485,0,1.20373
1.73736e+09,1.12487,-0.665455,0,1.20386
1.73736e+09,1.12498,-0.665376,0,1.20406
1.73736e+09,1.12494,-0.665326,0,1.20453
1.73736e+09,1.12494,-0.665326,0,1.20453
1.73736e+09,1.12486,-0.665554,0,1.20397
1.73736e+09,1.12378,-0.664836,0,1.18684
1.73736e+09,1.1228,-0.664463,0,1.17098
1.73736e+09,1.12269,-0.664444,0,1.16987
1.73736e+09,1.12377,-0.66489,0,1.18676
1.73736e+09,1.12516,-0.665436,0,1.20372
1.73736e+09,1.12513,-0.665425,0,1.20379
1.73736e+09,1.12376,-0.664826,0,1.18729
1.73736e+09,1.12377,-0.66493,0,1.18659
1.73736e+09,1.12377,-0.66493,0,1.18659
1.73736e+09,1.1249,-0.665257,0,1.20366
1.73736e+09,1.12385,-0.664819,0,1.18708
1.73736e+09,1.12381,-0.66475,0,1.18714
1.73736e+09,1.12379,-0.664834,0,1.18697
1.73736e+09,1.12373,-0.664928,0,1.18677
1.73736e+09,1.12518,-0.664834,0,1.20429
1.73736e+09,1.12515,-0.664902,0,1.20429
1.73736e+09,1.12317,-0.664702,0,1.1785
